region,date,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
1100015,2020-08-06,estimate,-0.001,-0.001,0.007,-0.002,0,-0.003,0.002,-0.009,0.006
1100015,2020-08-07,estimate,-0.001,-0.001,0.007,-0.002,0,-0.004,0.002,-0.009,0.006
1100015,2020-08-08,estimate,-0.001,-0.001,0.007,-0.002,0,-0.005,0.001,-0.01,0.006
1100015,2020-08-09,estimate,-0.001,-0.001,0.007,-0.002,0,-0.005,0.001,-0.01,0.006
1100015,2020-08-10,estimate,-0.001,-0.001,0.007,-0.002,0,-0.005,0.001,-0.01,0.007
1100015,2020-08-11,estimate,-0.001,-0.001,0.008,-0.002,0,-0.005,0.001,-0.01,0.007
1100015,2020-08-12,estimate,-0.001,-0.001,0.008,-0.002,0,-0.005,0.001,-0.01,0.008
1100015,2020-08-13,estimate,-0.001,-0.001,0.008,-0.002,0,-0.004,0.002,-0.01,0.008
1100015,2020-08-14,estimate,-0.001,-0.001,0.008,-0.003,0,-0.005,0.001,-0.01,0.008
1100015,2020-08-15,estimate,-0.001,-0.001,0.008,-0.002,0,-0.005,0.001,-0.011,0.007
1100015,2020-08-16,estimate,-0.001,-0.001,0.008,-0.003,-0.001,-0.004,0.002,-0.011,0.007
1100015,2020-08-17,estimate,-0.001,-0.001,0.008,-0.002,0,-0.004,0.002,-0.011,0.007
1100015,2020-08-18,estimate,-0.001,-0.001,0.008,-0.003,-0.001,-0.004,0.002,-0.011,0.008
1100015,2020-08-19,estimate,-0.001,-0.001,0.008,-0.003,-0.001,-0.004,0.002,-0.011,0.008
1100015,2020-08-20,estimate,-0.001,-0.001,0.008,-0.003,-0.001,-0.004,0.002,-0.011,0.008
1100015,2020-08-21,estimate,-0.001,-0.001,0.008,-0.003,0,-0.004,0.002,-0.011,0.008
1100015,2020-08-22,estimate,-0.002,-0.001,0.008,-0.003,-0.001,-0.005,0.001,-0.011,0.008
1100015,2020-08-23,estimate,-0.002,-0.001,0.008,-0.003,-0.001,-0.005,0.001,-0.011,0.008
1100015,2020-08-24,estimate,-0.002,-0.001,0.008,-0.003,-0.001,-0.005,0.001,-0.011,0.008
1100015,2020-08-25,estimate,-0.002,-0.001,0.008,-0.003,-0.001,-0.005,0.001,-0.011,0.008
1100015,2020-08-26,estimate,-0.002,-0.001,0.008,-0.003,-0.001,-0.005,0.001,-0.012,0.008
1100015,2020-08-27,estimate,-0.002,-0.001,0.009,-0.003,-0.001,-0.005,0.001,-0.012,0.008
1100015,2020-08-28,estimate,-0.002,-0.001,0.009,-0.003,-0.001,-0.005,0.001,-0.012,0.008
1100015,2020-08-29,estimate,-0.002,-0.001,0.009,-0.003,-0.001,-0.005,0.001,-0.012,0.008
1100015,2020-08-30,estimate,-0.002,-0.002,0.009,-0.003,-0.001,-0.005,0.001,-0.013,0.008
1100015,2020-08-31,estimate,-0.002,-0.002,0.009,-0.003,-0.001,-0.006,0.001,-0.013,0.008
1100015,2020-09-01,estimate,-0.002,-0.002,0.009,-0.003,-0.001,-0.006,0.001,-0.013,0.008
1100015,2020-09-02,estimate,-0.002,-0.002,0.009,-0.003,-0.001,-0.005,0.002,-0.013,0.008
1100015,2020-09-03,estimate,-0.002,-0.002,0.009,-0.003,-0.001,-0.005,0.001,-0.013,0.008
1100015,2020-09-04,estimate,-0.002,-0.002,0.01,-0.003,-0.001,-0.005,0.001,-0.012,0.01
1100015,2020-09-05,estimate,-0.002,-0.002,0.01,-0.003,-0.001,-0.005,0.001,-0.013,0.009
1100015,2020-09-06,estimate,-0.002,-0.002,0.01,-0.003,-0.001,-0.006,0.001,-0.013,0.01
1100015,2020-09-07,estimate,-0.002,-0.002,0.01,-0.003,-0.001,-0.005,0.002,-0.014,0.009
1100015,2020-09-08,estimate,-0.002,-0.002,0.01,-0.003,-0.001,-0.005,0.002,-0.014,0.01
1100015,2020-09-09,estimate,-0.002,-0.002,0.01,-0.003,-0.001,-0.005,0.002,-0.013,0.01
1100015,2020-09-10,estimate,-0.002,-0.002,0.01,-0.003,-0.001,-0.005,0.002,-0.013,0.011
1100015,2020-09-11,estimate,-0.002,-0.002,0.01,-0.003,-0.001,-0.005,0.002,-0.013,0.011
1100015,2020-09-12,estimate,-0.002,-0.002,0.01,-0.003,-0.001,-0.005,0.002,-0.014,0.01
1100015,2020-09-13,estimate,-0.002,-0.002,0.01,-0.003,-0.001,-0.005,0.002,-0.015,0.01
1100015,2020-09-14,estimate,-0.002,-0.002,0.01,-0.003,-0.001,-0.005,0.002,-0.014,0.011
1100015,2020-09-15,estimate,-0.002,-0.002,0.01,-0.003,-0.001,-0.004,0.002,-0.015,0.01
1100015,2020-09-16,estimate,-0.002,-0.002,0.01,-0.003,-0.001,-0.005,0.002,-0.015,0.01
1100015,2020-09-17,estimate,-0.002,-0.002,0.011,-0.002,0,-0.005,0.002,-0.015,0.01
1100015,2020-09-18,estimate,-0.002,-0.002,0.011,-0.002,0,-0.005,0.002,-0.015,0.009
1100015,2020-09-19,estimate,-0.002,-0.002,0.011,-0.002,0,-0.005,0.002,-0.015,0.01
1100015,2020-09-20,estimate based on partial data,-0.002,-0.002,0.011,-0.003,-0.001,-0.005,0.002,-0.014,0.011
1100015,2020-09-21,estimate based on partial data,-0.002,-0.002,0.011,-0.002,0,-0.004,0.002,-0.015,0.01
1100015,2020-09-22,estimate based on partial data,-0.002,-0.002,0.011,-0.003,0,-0.005,0.002,-0.015,0.01
1100015,2020-09-23,estimate based on partial data,-0.002,-0.002,0.011,-0.002,0,-0.005,0.002,-0.015,0.01
1100015,2020-09-24,estimate based on partial data,-0.002,-0.002,0.011,-0.002,0,-0.005,0.002,-0.015,0.011
1100015,2020-09-25,estimate based on partial data,-0.002,-0.002,0.011,-0.002,0,-0.005,0.002,-0.015,0.011
1100015,2020-09-26,estimate based on partial data,-0.002,-0.002,0.011,-0.002,0,-0.006,0.001,-0.015,0.011
1100015,2020-09-27,estimate based on partial data,-0.002,-0.002,0.011,-0.003,0,-0.005,0.002,-0.015,0.011
1100015,2020-09-28,estimate based on partial data,-0.002,-0.002,0.011,-0.003,-0.001,-0.005,0.001,-0.015,0.011
1100015,2020-09-29,estimate based on partial data,-0.002,-0.002,0.011,-0.003,-0.001,-0.005,0.002,-0.015,0.012
1100015,2020-09-30,estimate based on partial data,-0.002,-0.002,0.011,-0.004,-0.001,-0.005,0.002,-0.015,0.012
1100015,2020-10-01,forecast,-0.002,-0.002,0.011,-0.004,-0.001,-0.005,0.002,-0.015,0.012
1100015,2020-10-02,forecast,-0.002,-0.002,0.011,-0.004,-0.001,-0.005,0.002,-0.015,0.012
1100015,2020-10-03,forecast,-0.002,-0.002,0.011,-0.004,-0.001,-0.005,0.002,-0.015,0.012
1100015,2020-10-04,forecast,-0.002,-0.002,0.011,-0.004,-0.001,-0.005,0.002,-0.015,0.012
1100015,2020-10-05,forecast,-0.002,-0.002,0.011,-0.004,-0.001,-0.005,0.002,-0.015,0.012
1100015,2020-10-06,forecast,-0.002,-0.002,0.011,-0.004,-0.001,-0.005,0.002,-0.015,0.012
1100015,2020-10-07,forecast,-0.002,-0.002,0.011,-0.004,-0.001,-0.005,0.002,-0.015,0.012
1100023,2020-08-20,estimate,-0.007,3526301.664,157700930.144,-0.008,-0.002,-0.015,0.004,-0.044,0.024
1100023,2020-08-21,estimate,-0.007,2568119.97,114849594.17,-0.01,-0.003,-0.016,0.003,-0.046,0.023
1100023,2020-08-22,estimate,-0.008,1251610.881,55973253.371,-0.01,-0.004,-0.015,0.004,-0.046,0.025
1100023,2020-08-23,estimate,-0.008,409743.147,18323503.395,-0.01,-0.004,-0.015,0.004,-0.046,0.027
1100023,2020-08-24,estimate,-0.008,91451.441,4088963.004,-0.01,-0.004,-0.016,0.003,-0.049,0.025
1100023,2020-08-25,estimate,-0.008,14295.376,638587.52,-0.011,-0.004,-0.016,0.004,-0.049,0.027
1100023,2020-08-26,estimate,-0.008,1631.388,72507.475,-0.012,-0.005,-0.016,0.004,-0.049,0.027
1100023,2020-08-27,estimate,-0.009,145.637,6294.082,-0.012,-0.005,-0.016,0.004,-0.053,0.025
1100023,2020-08-28,estimate,-0.009,11.947,452.365,-0.013,-0.006,-0.017,0.004,-0.053,0.026
1100023,2020-08-29,estimate,-0.009,1.339,42.667,-0.013,-0.006,-0.017,0.004,-0.051,0.029
1100023,2020-08-30,estimate,-0.009,0.278,11.101,-0.013,-0.006,-0.018,0.002,-0.051,0.029
1100023,2020-08-31,estimate,-0.009,0.081,3.609,-0.011,-0.003,-0.019,0.002,-0.052,0.028
1100023,2020-09-01,estimate,-0.009,0.028,1.265,-0.007,0.001,-0.018,0.003,-0.05,0.03
1100023,2020-09-02,estimate,-0.009,0.013,0.625,-0.008,0,-0.018,0.003,-0.052,0.028
1100023,2020-09-03,estimate,-0.009,0.009,0.55,-0.007,0.001,-0.018,0.003,-0.054,0.026
1100023,2020-09-04,estimate,-0.009,0.01,0.599,-0.009,-0.001,-0.019,0.002,-0.053,0.028
1100023,2020-09-05,estimate,-0.009,0.014,0.684,-0.009,-0.001,-0.018,0.004,-0.056,0.026
1100023,2020-09-06,estimate,-0.009,0.022,0.873,-0.009,-0.001,-0.02,0.002,-0.056,0.027
1100023,2020-09-07,estimate,-0.009,0.038,1.406,-0.008,-0.001,-0.018,0.004,-0.056,0.028
1100023,2020-09-08,estimate,-0.009,0.072,2.773,-0.009,-0.001,-0.018,0.005,-0.057,0.028
1100023,2020-09-09,estimate,-0.009,0.144,5.829,-0.009,-0.001,-0.021,0.002,-0.056,0.031
1100023,2020-09-10,estimate,-0.009,0.285,12.025,-0.006,0.002,-0.022,0.002,-0.058,0.03
1100023,2020-09-11,estimate,-0.008,0.544,23.435,-0.008,0,-0.022,0.002,-0.058,0.032
1100023,2020-09-12,estimate,-0.009,0.967,42.157,-0.011,-0.003,-0.022,0.002,-0.057,0.034
1100023,2020-09-13,estimate,-0.009,1.581,68.752,-0.009,0,-0.02,0.004,-0.056,0.035
1100023,2020-09-14,estimate,-0.008,3.665,117.916,-0.008,-0.001,-0.021,0.003,-0.059,0.032
1100023,2020-09-15,estimate,-0.009,211.017,9307.031,-0.007,0.001,-0.021,0.003,-0.056,0.037
1100023,2020-09-16,estimate,-0.008,47055.757,2104249.465,-0.008,0,-0.022,0.003,-0.056,0.037
1100023,2020-09-17,estimate,-0.009,14527053.282,649669426.177,-0.011,-0.003,-0.021,0.004,-0.057,0.038
1100023,2020-09-18,estimate,-0.009,5478450002.864,245003732226.61,-0.01,-0.001,-0.019,0.007,-0.057,0.038
1100023,2020-09-19,estimate based on partial data,-0.009,2244215000002.22,100364345922494,-0.009,0,-0.02,0.005,-0.061,0.034
1100023,2020-09-20,estimate based on partial data,-0.009,885870000000002,39617310784554800,-0.009,-0.001,-0.023,0.002,-0.061,0.036
1100023,2020-09-21,estimate based on partial data,-0.009,2.992235e+17,13381681729308200000,-0.01,-0.001,-0.022,0.004,-0.06,0.037
1100023,2020-09-22,estimate based on partial data,-0.009,7.71515e+19,3.4503199713215e+21,-0.009,-0.001,-0.022,0.004,-0.06,0.037
1100023,2020-09-23,estimate based on partial data,-0.009,1.36535e+22,6.10603082615868e+23,-0.009,0,-0.021,0.005,-0.059,0.037
1100023,2020-09-24,estimate based on partial data,-0.009,1.50757e+24,6.74205800167872e+25,-0.009,0,-0.023,0.004,-0.06,0.037
1100023,2020-09-25,estimate based on partial data,-0.009,9.5708e+25,4.280191879811e+27,-0.009,-0.001,-0.022,0.005,-0.061,0.036
1100023,2020-09-26,estimate based on partial data,-0.009,3.270715e+27,1.46270821500565e+29,-0.009,-0.001,-0.021,0.006,-0.061,0.037
1100023,2020-09-27,estimate based on partial data,-0.009,5.7325e+28,2.56365193620351e+30,-0.009,-0.001,-0.023,0.003,-0.061,0.037
1100023,2020-09-28,estimate based on partial data,-0.009,5.0015e+29,2.23673879789304e+31,-0.01,-0.002,-0.024,0.003,-0.061,0.036
1100023,2020-09-29,forecast,-0.009,5.0015e+29,2.23673879789304e+31,-0.01,-0.002,-0.024,0.003,-0.061,0.036
1100023,2020-09-30,forecast,-0.009,5.0015e+29,2.23673879789304e+31,-0.01,-0.002,-0.024,0.003,-0.061,0.036
1100023,2020-10-01,forecast,-0.009,5.0015e+29,2.23673879789304e+31,-0.01,-0.002,-0.024,0.003,-0.061,0.036
1100023,2020-10-02,forecast,-0.009,5.0015e+29,2.23673879789304e+31,-0.01,-0.002,-0.024,0.003,-0.061,0.036
1100023,2020-10-03,forecast,-0.009,5.0015e+29,2.23673879789304e+31,-0.01,-0.002,-0.024,0.003,-0.061,0.036
1100023,2020-10-04,forecast,-0.009,5.0015e+29,2.23673879789304e+31,-0.01,-0.002,-0.024,0.003,-0.061,0.036
1100023,2020-10-05,forecast,-0.009,5.0015e+29,2.23673879789304e+31,-0.01,-0.002,-0.024,0.003,-0.061,0.036
1100049,2020-08-20,estimate,0.005,0.005,0.011,0.003,0.007,-0.001,0.01,-0.009,0.019
1100049,2020-08-21,estimate,0.005,0.005,0.012,0.004,0.007,0,0.01,-0.011,0.018
1100049,2020-08-22,estimate,0.005,0.006,0.012,0.004,0.007,0.001,0.011,-0.011,0.018
1100049,2020-08-23,estimate,0.005,0.006,0.013,0.002,0.006,0,0.011,-0.011,0.019
1100049,2020-08-24,estimate,0.005,0.006,0.013,0.004,0.008,0,0.011,-0.011,0.019
1100049,2020-08-25,estimate,0.005,0.006,0.013,0,0.005,0,0.011,-0.011,0.019
1100049,2020-08-26,estimate,0.005,0.006,0.014,0,0.004,0,0.011,-0.011,0.02
1100049,2020-08-27,estimate,0.005,0.006,0.014,0,0.004,-0.001,0.011,-0.011,0.021
1100049,2020-08-28,estimate,0.005,0.006,0.014,0,0.004,-0.001,0.01,-0.012,0.02
1100049,2020-08-29,estimate,0.005,0.006,0.014,0,0.004,0,0.012,-0.011,0.022
1100049,2020-08-30,estimate,0.005,0.006,0.015,0,0.004,0,0.012,-0.012,0.021
1100049,2020-08-31,estimate,0.005,0.006,0.015,0.001,0.005,0,0.012,-0.013,0.021
1100049,2020-09-01,estimate,0.005,0.006,0.015,0,0.005,0,0.012,-0.012,0.021
1100049,2020-09-02,estimate,0.005,0.006,0.015,0,0.005,0,0.012,-0.012,0.022
1100049,2020-09-03,estimate,0.005,0.006,0.015,0,0.005,0,0.013,-0.015,0.02
1100049,2020-09-04,estimate,0.005,0.006,0.015,0,0.005,-0.001,0.012,-0.015,0.021
1100049,2020-09-05,estimate,0.005,0.006,0.016,0.002,0.007,-0.001,0.012,-0.013,0.023
1100049,2020-09-06,estimate,0.005,0.006,0.016,0,0.005,0,0.012,-0.014,0.022
1100049,2020-09-07,estimate,0.005,0.006,0.016,0.002,0.006,0,0.013,-0.014,0.023
1100049,2020-09-08,estimate,0.005,0.006,0.016,0.002,0.006,-0.001,0.012,-0.016,0.021
1100049,2020-09-09,estimate,0.005,0.006,0.016,0.002,0.006,-0.001,0.011,-0.016,0.022
1100049,2020-09-10,estimate,0.005,0.006,0.016,0.002,0.006,-0.001,0.011,-0.016,0.022
1100049,2020-09-11,estimate,0.005,0.006,0.016,0.002,0.007,-0.002,0.011,-0.016,0.022
1100049,2020-09-12,estimate,0.005,0.006,0.016,0.002,0.007,-0.002,0.011,-0.015,0.024
1100049,2020-09-13,estimate,0.005,0.006,0.016,0.003,0.007,-0.001,0.012,-0.016,0.023
1100049,2020-09-14,estimate,0.005,0.006,0.016,0.002,0.007,-0.002,0.011,-0.016,0.024
1100049,2020-09-15,estimate,0.005,0.006,0.017,0.003,0.008,-0.002,0.011,-0.017,0.024
1100049,2020-09-16,estimate,0.005,0.006,0.017,0.002,0.007,-0.002,0.012,-0.016,0.025
1100049,2020-09-17,estimate,0.005,0.006,0.017,0.002,0.007,-0.001,0.012,-0.017,0.025
1100049,2020-09-18,estimate,0.005,0.006,0.017,0.005,0.01,-0.002,0.011,-0.017,0.025
1100049,2020-09-19,estimate based on partial data,0.005,0.006,0.018,0.005,0.01,-0.002,0.012,-0.018,0.026
1100049,2020-09-20,estimate based on partial data,0.005,0.006,0.018,0.005,0.01,-0.002,0.012,-0.018,0.026
1100049,2020-09-21,estimate based on partial data,0.006,0.006,0.018,0.005,0.01,-0.002,0.011,-0.017,0.029
1100049,2020-09-22,estimate based on partial data,0.006,0.007,0.018,0.005,0.01,-0.003,0.011,-0.019,0.028
1100049,2020-09-23,estimate based on partial data,0.006,0.007,0.019,0.006,0.011,-0.002,0.011,-0.018,0.03
1100049,2020-09-24,estimate based on partial data,0.006,0.007,0.019,0.002,0.007,-0.002,0.011,-0.018,0.03
1100049,2020-09-25,estimate based on partial data,0.006,0.007,0.019,0.002,0.007,-0.002,0.012,-0.019,0.029
1100049,2020-09-26,estimate based on partial data,0.006,0.007,0.019,0.002,0.007,-0.002,0.012,-0.018,0.032
1100049,2020-09-27,estimate based on partial data,0.006,0.007,0.019,0.006,0.011,-0.002,0.012,-0.021,0.029
1100049,2020-09-28,estimate based on partial data,0.006,0.007,0.02,0.006,0.011,-0.002,0.012,-0.019,0.032
1100049,2020-09-29,forecast,0.006,0.007,0.02,0.006,0.011,-0.002,0.012,-0.019,0.032
1100049,2020-09-30,forecast,0.006,0.007,0.02,0.006,0.011,-0.002,0.012,-0.019,0.032
1100049,2020-10-01,forecast,0.006,0.007,0.02,0.006,0.011,-0.002,0.012,-0.019,0.032
1100049,2020-10-02,forecast,0.006,0.007,0.02,0.006,0.011,-0.002,0.012,-0.019,0.032
1100049,2020-10-03,forecast,0.006,0.007,0.02,0.006,0.011,-0.002,0.012,-0.019,0.032
1100049,2020-10-04,forecast,0.006,0.007,0.02,0.006,0.011,-0.002,0.012,-0.019,0.032
1100049,2020-10-05,forecast,0.006,0.007,0.02,0.006,0.011,-0.002,0.012,-0.019,0.032
1100080,2020-08-06,estimate,0.003,0.063,2.536,-0.001,0.003,-0.004,0.009,-0.018,0.03
1100080,2020-08-07,estimate,0.003,0.038,1.468,-0.001,0.003,-0.005,0.009,-0.021,0.028
1100080,2020-08-08,estimate,0.002,0.017,0.507,-0.002,0.003,-0.005,0.009,-0.022,0.028
1100080,2020-08-09,estimate,0.002,0.007,0.111,-0.001,0.003,-0.005,0.01,-0.023,0.028
1100080,2020-08-10,estimate,0.002,0.005,0.037,-0.001,0.003,-0.005,0.01,-0.025,0.027
1100080,2020-08-11,estimate,0.002,0.004,0.029,0,0.005,-0.005,0.01,-0.026,0.028
1100080,2020-08-12,estimate,0.002,0.003,0.025,0,0.005,-0.006,0.009,-0.027,0.028
1100080,2020-08-13,estimate,0.001,0.003,0.024,-0.002,0.003,-0.007,0.009,-0.029,0.027
1100080,2020-08-14,estimate,0.001,0.002,0.023,-0.002,0.003,-0.005,0.011,-0.029,0.028
1100080,2020-08-15,estimate,0.001,0.002,0.023,-0.002,0.003,-0.006,0.01,-0.033,0.026
1100080,2020-08-16,estimate,0.001,0.001,0.023,-0.002,0.003,-0.008,0.008,-0.033,0.027
1100080,2020-08-17,estimate,0,0,0.023,-0.002,0.003,-0.007,0.009,-0.036,0.025
1100080,2020-08-18,estimate,0,0,0.023,-0.002,0.003,-0.007,0.009,-0.033,0.029
1100080,2020-08-19,estimate,-0.001,-0.001,0.023,-0.003,0.002,-0.008,0.009,-0.035,0.028
1100080,2020-08-20,estimate,-0.001,-0.001,0.023,-0.004,0.002,-0.008,0.008,-0.033,0.03
1100080,2020-08-21,estimate,-0.001,-0.002,0.023,-0.004,0.002,-0.009,0.007,-0.035,0.028
1100080,2020-08-22,estimate,-0.002,-0.003,0.023,-0.004,0.002,-0.009,0.008,-0.034,0.03
1100080,2020-08-23,estimate,-0.002,-0.003,0.023,-0.004,0.001,-0.009,0.008,-0.04,0.024
1100080,2020-08-24,estimate,-0.003,-0.004,0.023,-0.005,0.001,-0.009,0.008,-0.039,0.025
1100080,2020-08-25,estimate,-0.003,-0.004,0.023,-0.004,0.002,-0.01,0.008,-0.04,0.025
1100080,2020-08-26,estimate,-0.003,-0.005,0.023,-0.005,0.001,-0.01,0.008,-0.04,0.025
1100080,2020-08-27,estimate,-0.003,-0.005,0.023,-0.006,0.001,-0.01,0.009,-0.042,0.023
1100080,2020-08-28,estimate,-0.004,-0.006,0.023,-0.007,-0.001,-0.01,0.009,-0.041,0.025
1100080,2020-08-29,estimate,-0.004,-0.006,0.023,-0.007,-0.001,-0.011,0.008,-0.043,0.024
1100080,2020-08-30,estimate,-0.004,-0.007,0.024,-0.005,0.001,-0.011,0.008,-0.044,0.025
1100080,2020-08-31,estimate,-0.004,-0.007,0.024,-0.006,0,-0.013,0.006,-0.045,0.024
1100080,2020-09-01,estimate,-0.005,-0.008,0.024,-0.006,0,-0.014,0.006,-0.045,0.025
1100080,2020-09-02,estimate,-0.005,-0.008,0.025,-0.005,0.002,-0.015,0.005,-0.046,0.024
1100080,2020-09-03,estimate,-0.005,-0.008,0.025,-0.005,0.001,-0.013,0.007,-0.05,0.021
1100080,2020-09-04,estimate,-0.006,-0.009,0.026,-0.005,0.002,-0.014,0.007,-0.044,0.028
1100080,2020-09-05,estimate,-0.006,-0.009,0.026,-0.005,0.002,-0.012,0.008,-0.052,0.02
1100080,2020-09-06,estimate,-0.006,-0.009,0.026,-0.005,0.002,-0.016,0.005,-0.052,0.02
1100080,2020-09-07,estimate,-0.006,-0.01,0.027,-0.006,0.001,-0.014,0.007,-0.053,0.02
1100080,2020-09-08,estimate,-0.007,-0.01,0.027,-0.006,0.001,-0.015,0.006,-0.054,0.02
1100080,2020-09-09,estimate,-0.007,-0.01,0.028,-0.006,0.001,-0.015,0.006,-0.053,0.022
1100080,2020-09-10,estimate,-0.007,-0.01,0.028,-0.005,0.002,-0.015,0.007,-0.056,0.019
1100080,2020-09-11,estimate,-0.007,-0.01,0.029,-0.006,0.001,-0.015,0.007,-0.055,0.021
1100080,2020-09-12,estimate,-0.007,-0.011,0.03,-0.006,0.001,-0.014,0.008,-0.049,0.028
1100080,2020-09-13,estimate,-0.007,-0.011,0.03,-0.007,0.001,-0.015,0.007,-0.05,0.027
1100080,2020-09-14,estimate,-0.008,-0.011,0.031,-0.006,0.001,-0.014,0.008,-0.053,0.025
1100080,2020-09-15,estimate,-0.008,-0.011,0.032,-0.006,0.001,-0.017,0.005,-0.057,0.022
1100080,2020-09-16,estimate,-0.008,-0.011,0.032,-0.006,0.001,-0.017,0.005,-0.055,0.025
1100080,2020-09-17,estimate,-0.008,-0.011,0.033,-0.007,0,-0.017,0.006,-0.054,0.026
1100080,2020-09-18,estimate,-0.008,-0.011,0.034,-0.007,0,-0.019,0.004,-0.054,0.025
1100080,2020-09-19,estimate,-0.008,-0.011,0.034,-0.006,0.001,-0.018,0.005,-0.054,0.026
1100080,2020-09-20,estimate based on partial data,-0.008,-0.011,0.035,-0.008,0,-0.019,0.004,-0.056,0.024
1100080,2020-09-21,estimate based on partial data,-0.007,-0.011,0.035,-0.008,-0.001,-0.019,0.004,-0.056,0.024
1100080,2020-09-22,estimate based on partial data,-0.008,-0.011,0.035,-0.007,0,-0.019,0.004,-0.057,0.023
1100080,2020-09-23,estimate based on partial data,-0.008,-0.011,0.035,-0.007,0,-0.018,0.005,-0.056,0.025
1100080,2020-09-24,estimate based on partial data,-0.008,-0.012,0.036,-0.007,0,-0.019,0.005,-0.057,0.024
1100080,2020-09-25,estimate based on partial data,-0.008,-0.012,0.036,-0.01,-0.002,-0.019,0.004,-0.056,0.026
1100080,2020-09-26,estimate based on partial data,-0.008,-0.012,0.036,-0.008,0,-0.019,0.005,-0.057,0.025
1100080,2020-09-27,estimate based on partial data,-0.008,-0.012,0.036,-0.008,0,-0.019,0.005,-0.056,0.026
1100080,2020-09-28,estimate based on partial data,-0.008,-0.012,0.036,-0.008,0,-0.018,0.006,-0.057,0.026
1100080,2020-09-29,estimate based on partial data,-0.008,-0.012,0.036,-0.009,-0.001,-0.016,0.008,-0.058,0.026
1100080,2020-09-30,estimate based on partial data,-0.008,-0.012,0.036,-0.01,-0.001,-0.016,0.008,-0.059,0.026
1100080,2020-10-01,forecast,-0.008,-0.012,0.036,-0.01,-0.001,-0.016,0.008,-0.059,0.026
1100080,2020-10-02,forecast,-0.008,-0.012,0.036,-0.01,-0.001,-0.016,0.008,-0.059,0.026
1100080,2020-10-03,forecast,-0.008,-0.012,0.036,-0.01,-0.001,-0.016,0.008,-0.059,0.026
1100080,2020-10-04,forecast,-0.008,-0.012,0.036,-0.01,-0.001,-0.016,0.008,-0.059,0.026
1100080,2020-10-05,forecast,-0.008,-0.012,0.036,-0.01,-0.001,-0.016,0.008,-0.059,0.026
1100080,2020-10-06,forecast,-0.008,-0.012,0.036,-0.01,-0.001,-0.016,0.008,-0.059,0.026
1100080,2020-10-07,forecast,-0.008,-0.012,0.036,-0.01,-0.001,-0.016,0.008,-0.059,0.026
1100098,2020-08-06,estimate,-0.018,-0.021,0.018,-0.015,-0.01,-0.021,-0.006,-0.046,-0.003
1100098,2020-08-07,estimate,-0.018,-0.021,0.02,-0.015,-0.01,-0.021,-0.005,-0.047,-0.002
1100098,2020-08-08,estimate,-0.018,-0.021,0.023,-0.015,-0.009,-0.021,-0.005,-0.046,-0.001
1100098,2020-08-09,estimate,-0.018,-0.021,0.029,-0.013,-0.008,-0.021,-0.005,-0.047,-0.001
1100098,2020-08-10,estimate,-0.018,-0.02,0.039,-0.013,-0.008,-0.02,-0.005,-0.048,-0.001
1100098,2020-08-11,estimate,-0.018,-0.02,0.053,-0.015,-0.01,-0.022,-0.006,-0.048,-0.002
1100098,2020-08-12,estimate,-0.018,-0.02,0.072,-0.016,-0.01,-0.022,-0.006,-0.049,-0.002
1100098,2020-08-13,estimate,-0.018,-0.019,0.093,-0.016,-0.01,-0.022,-0.006,-0.049,-0.002
1100098,2020-08-14,estimate,-0.018,-0.018,0.118,-0.014,-0.008,-0.021,-0.005,-0.049,-0.002
1100098,2020-08-15,estimate,-0.018,-0.018,0.146,-0.014,-0.009,-0.022,-0.006,-0.049,-0.001
1100098,2020-08-16,estimate,-0.018,-0.017,0.177,-0.017,-0.011,-0.024,-0.007,-0.049,-0.001
1100098,2020-08-17,estimate,-0.018,-0.016,0.211,-0.015,-0.009,-0.024,-0.008,-0.049,0
1100098,2020-08-18,estimate,-0.018,-0.015,0.251,-0.015,-0.009,-0.022,-0.006,-0.049,0
1100098,2020-08-19,estimate,-0.018,-0.014,0.298,-0.014,-0.009,-0.022,-0.006,-0.049,0
1100098,2020-08-20,estimate,-0.018,-0.013,0.357,-0.014,-0.008,-0.022,-0.005,-0.05,0
1100098,2020-08-21,estimate,-0.017,-0.011,0.436,-0.014,-0.008,-0.021,-0.005,-0.049,0.001
1100098,2020-08-22,estimate,-0.018,-0.009,0.545,-0.015,-0.009,-0.02,-0.004,-0.049,0.002
1100098,2020-08-23,estimate,-0.018,-0.005,0.7,-0.015,-0.009,-0.02,-0.004,-0.051,0
1100098,2020-08-24,estimate,-0.018,0,0.928,-0.015,-0.009,-0.022,-0.005,-0.05,0.001
1100098,2020-08-25,estimate,-0.018,0.008,1.272,-0.014,-0.008,-0.022,-0.005,-0.05,0.002
1100098,2020-08-26,estimate,-0.018,0.02,1.804,-0.014,-0.008,-0.021,-0.005,-0.049,0.003
1100098,2020-08-27,estimate,-0.017,0.039,2.638,-0.018,-0.012,-0.021,-0.005,-0.049,0.002
1100098,2020-08-28,estimate,-0.017,0.068,3.965,-0.018,-0.012,-0.021,-0.005,-0.05,0.002
1100098,2020-08-29,estimate,-0.017,0.116,6.082,-0.018,-0.012,-0.021,-0.005,-0.049,0.003
1100098,2020-08-30,estimate,-0.017,0.191,9.448,-0.016,-0.01,-0.021,-0.005,-0.049,0.003
